ext1,ext2,ext3,ext4,ext5,ext6,ext7,ext8,ext9,ext10,est1,est2,est3,est4,est5,est6,est7,est8,est9,est10,agr1,agr2,agr3,agr4,agr5,agr6,agr7,agr8,agr9,agr10,csn1,csn2,csn3,csn4,csn5,csn6,csn7,csn8,csn9,csn10,opn1,opn2,opn3,opn4,opn5,opn6,opn7,opn8,opn9,opn10,degree_category,degree,happiness_level,gender,birth_date,birth_location_country,birth_location_country_clean,birth_location_province,birth_location_city
4,1,5,1,5,1,4,2,4,1,5,1,5,2,5,4,4,4,4,2,1,5,1,5,1,5,1,5,5,5,5,5,5,5,2,5,1,1,4,5,5,1,5,1,5,1,5,4,5,5,STEM,Analista en sistemas,5,M,2002/07/20,Argentina,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires
2,1,4,1,5,1,4,1,4,3,5,1,5,1,4,2,5,5,5,4,1,5,2,4,1,4,1,4,3,4,4,4,5,3,2,2,3,4,3,5,4,1,4,1,4,2,4,4,5,5,STEM,Licenciatura en ciencia de datos,2,M,1998/12/30,Argentina,Argentina,Buenos Aires,CABA
2,2,4,4,4,1,1,4,2,5,4,4,4,2,5,5,5,5,5,5,4,4,4,4,4,4,4,3,4,4,2,5,5,4,1,1,4,5,2,4,4,1,5,1,4,1,4,4,5,4,Business,Advertising,3,M,1990/02/24,Argentina,Argentina,Entre Ríos,Parana
3,3,3,2,5,2,4,3,3,4,2,4,3,5,2,2,1,1,3,1,1,5,1,5,1,3,1,4,5,4,5,2,4,1,5,1,5,1,5,5,5,1,2,3,3,4,5,5,5,2,Social Sciences,Licenciatura en Relaciones Internacionales,4,F,1979/12/31,Argentina,Argentina,Buenos Aires,Tandil
1,4,2,5,2,4,3,5,2,4,2,5,4,5,1,3,1,1,3,1,2,3,5,4,2,3,1,5,2,4,4,1,5,2,1,2,2,2,2,4,5,1,5,5,5,1,4,5,5,5,Arts,Cine,5,M,1998/04/16,Argentina,Argentina,Buenos Aires,San Martin
2,3,3,3,4,1,4,3,3,1,1,5,4,2,1,1,1,2,2,2,2,3,3,4,4,4,1,3,3,4,3,5,5,3,1,5,3,3,2,2,3,2,5,3,4,1,4,4,5,5,STEM,Ing en sistemas,4,M,1995/10/19,México,Mexico,Toluca,Toluca
2,3,2,5,1,5,1,5,3,5,5,2,5,1,4,5,5,5,4,4,1,3,3,5,2,2,2,5,5,5,3,5,4,4,1,4,4,3,2,5,3,5,5,3,5,1,3,3,5,5,None,ninguna,2,M,1971/07/19,Argentina,Argentina,Buenos Aires,Vicente López
2,2,5,2,4,2,2,4,2,3,1,4,1,4,2,2,2,2,2,1,2,4,2,3,1,4,1,4,4,4,2,5,3,4,3,4,3,3,3,5,3,1,2,4,4,4,5,2,4,4,Health Sciences,Medicina e Chirurgia,4,F,2000/01/22,Italia,Italy,Catanzaro,Catanzaro
3,5,2,4,2,2,2,4,1,5,4,3,5,3,4,3,3,3,2,2,2,3,1,3,3,3,2,4,2,3,2,5,3,5,2,4,3,4,3,3,3,3,2,3,3,4,4,2,5,2,STEM,Agronomía,4,M,1995/12/10,Argentina,Argentina,Buenos Aires,Navarro
3,1,4,2,5,1,5,2,3,2,2,4,3,3,1,2,2,2,1,2,1,5,2,5,1,5,1,5,2,5,3,5,4,3,2,4,2,2,2,4,4,1,4,1,4,1,4,3,4,4,Health Sciences,Medicina e chirurgia,3,F,1998/09/19,Italia,Italy,Roma,Roma
1,3,1,3,3,1,1,3,3,5,4,4,4,2,2,4,3,2,2,2,1,4,1,4,2,3,1,5,3,4,1,5,2,5,4,4,4,2,4,5,5,3,4,1,3,1,5,2,4,4,None,-,4,F,1987/06/29,Argentina,Argentina,Buenos aires,CABA
2,2,5,3,4,1,3,2,4,3,3,3,4,2,3,2,4,3,5,1,1,5,1,5,1,4,1,5,4,3,5,4,5,2,4,3,3,4,2,5,5,1,5,1,5,1,5,4,5,5,Business,Events management,5,F,1999/09/14,Russia,Russia,Chelyabisnkaya oblast,Chelyabinsk
2,2,4,2,4,1,3,2,2,3,1,5,4,5,2,2,1,1,1,1,1,4,2,4,2,5,2,4,4,5,5,1,5,3,4,1,5,2,4,4,5,1,5,2,5,1,5,4,5,5,Business,Turismo,5,F,2002/02/26,España,Spain,Catalunya,Vilanova i la Geltrú
3,2,3,4,2,3,1,4,2,4,5,2,5,2,4,3,4,4,5,2,2,4,4,5,1,4,1,3,4,4,2,1,4,3,3,2,4,2,3,4,4,2,2,3,3,4,4,3,3,3,Social Sciences,Relaciones Internacionales,4,F,2000/10/01,Argentina,Argentina,Buenos Aires,San Isidro
5,2,5,1,4,2,4,1,3,4,2,3,4,3,4,4,4,4,5,3,1,5,4,4,1,4,1,4,4,4,4,1,5,1,4,1,5,2,3,5,3,3,4,2,3,2,4,2,4,3,None,Ninguna,3,F,1977/12/06,Argentina,Argentina,Buenos Aires,San isidro
4,1,4,1,5,1,4,1,1,1,3,3,4,3,3,3,3,3,3,3,4,4,2,4,1,3,1,3,5,5,3,5,5,5,1,4,1,3,2,5,5,2,5,1,5,1,4,4,4,4,STEM,IT Engineer,3,M,1984/10/12,Argentina,Argentina,Buenos Aires,Capital Federal
2,2,2,2,4,3,3,3,3,4,5,1,5,1,5,5,5,5,5,5,3,2,2,1,3,5,2,2,1,2,1,5,1,5,1,5,5,5,2,5,3,3,5,3,1,1,2,5,5,5,Arts,Diseño gráfico,1,M,1996/07/24,Argentina,Argentina,Buenos Aires,Vicente Lopez
1,2,2,2,3,2,2,1,1,2,3,3,4,3,2,4,4,4,3,3,5,5,2,4,4,2,1,3,2,4,3,4,4,1,4,2,5,4,4,4,3,2,2,2,2,2,3,2,2,2,Social Sciences,Trabajo social,4,F,2023/03/19,Argentina,Argentina,Buenos Aires,Capital Federal
4,3,5,5,1,1,3,3,5,3,3,4,3,3,3,2,2,2,2,2,2,3,1,3,1,3,1,3,3,4,3,5,5,3,5,5,5,3,2,3,5,1,4,1,3,1,5,5,5,4,Health Sciences,Medicine,3,M,1986/12/24,Argentina,Argentina,Buenos aires,Buenos aires
3,1,3,3,5,1,5,1,5,3,4,1,5,4,4,4,2,3,4,1,1,4,1,4,1,4,2,2,3,4,5,4,5,4,3,3,5,4,3,5,5,3,5,3,4,1,5,4,5,5,Social Sciences,Lic en gestión de políticas públicas,3,M,2022/10/13,Argentina,Argentina,Buenos Aires,CABA
4,1,5,1,5,1,5,1,4,1,2,4,3,4,2,3,2,2,4,2,1,1,1,5,1,5,1,5,5,5,4,2,3,3,3,2,3,1,3,4,5,1,4,2,3,2,4,4,5,4,Business,Turisme,4,F,2000/06/28,Catalunya,Spain,Barcelona,Barcelona
2,3,2,4,2,3,3,4,1,5,4,2,5,2,4,3,3,3,4,3,2,4,2,5,2,4,2,3,4,4,2,4,4,4,2,4,3,3,2,3,4,3,3,4,3,3,4,3,4,2,Business,Hospitality,3,F,1997/12/31,Singapore,Singapore,Singapore,Singapore
4,1,4,2,5,1,3,4,2,1,2,4,4,4,2,2,1,1,2,1,1,5,2,5,1,3,1,4,5,5,4,3,4,2,3,4,3,3,3,3,4,1,5,2,3,1,4,3,5,3,STEM,Licenciatura en Física,4,M,1994/01/16,Argentina,Argentina,Buenos Aires,Remedios de Escalada
1,3,1,1,1,4,1,5,1,5,5,1,5,1,5,5,5,5,5,5,1,3,1,5,1,3,3,3,3,5,3,1,3,1,3,1,5,1,5,5,5,5,5,1,3,5,3,3,3,3,Business,Contador Publico,3,F,1970/01/03,Argentina,Argentina,CABA,CABA
3,4,3,4,4,2,3,5,2,4,1,4,4,4,2,2,2,1,3,1,2,4,1,4,1,3,1,3,4,4,4,2,5,2,3,2,4,2,4,4,4,3,3,2,3,2,3,4,4,3,Social Sciences,Abogacia,4,M,1962/09/28,EE.UU,United States,New Jersey,Camden
4,1,4,2,5,2,5,1,5,1,3,4,4,3,2,2,2,2,2,1,2,4,1,4,2,3,1,4,4,4,4,2,3,3,3,2,4,2,3,5,4,3,5,2,3,1,4,3,3,4,Business,Martillero publico,4,F,1970/10/22,Argentina,Argentina,Santa Fe,Esperanza
4,1,3,2,5,2,4,2,4,2,3,4,4,2,3,4,4,4,4,2,2,4,3,4,2,5,2,4,4,4,4,2,4,2,4,2,4,2,4,4,5,2,5,3,4,1,4,5,4,5,Arts,Diseño gráfico,3,F,2000/08/06,Argentina,Argentina,Santa Fe,San Jerónimo Norte
4,1,4,4,4,4,5,2,5,1,2,3,4,4,4,2,2,2,2,1,1,5,1,5,1,5,1,5,5,4,4,4,3,3,2,4,3,2,2,5,5,2,4,3,4,1,5,5,5,5,Health Sciences,Ciencies de l’Activitat Fisica i l’Esport,4,F,2000/09/01,Espanya,Spain,Barcelona,Esplugues de Llobregat
2,2,4,3,4,2,3,4,4,2,5,2,5,2,4,4,4,4,4,2,1,4,1,4,1,3,2,4,4,4,2,4,5,2,1,2,5,5,3,2,4,2,3,2,3,2,4,4,4,3,Social Sciences,Sociología,3,F,2001/03/16,Argentino,Argentina,Buenos Aires,Caba
4,3,3,3,2,3,4,4,3,4,1,5,1,5,1,2,1,1,1,2,2,3,1,4,3,3,3,3,3,4,3,1,5,1,3,1,5,3,4,2,3,2,3,3,3,2,4,2,2,3,STEM,ingeniería en informática,4,M,1983/04/25,Argentina,Argentina,Chubut,Comodoro Rivadavia
4,2,3,2,4,1,3,2,3,3,4,1,5,1,3,4,3,3,3,3,1,5,1,5,1,5,1,4,4,5,3,5,5,4,1,5,3,4,2,5,4,1,4,1,3,4,4,4,5,4,STEM,Fisica,3,F,1995/07/19,Argentina,Argentina,Buenos aires,Lanus
4,3,4,3,2,3,2,4,2,2,1,5,4,3,1,1,1,1,1,1,2,4,1,5,2,4,2,4,4,5,4,1,5,1,5,1,5,1,4,5,5,1,4,1,4,2,4,3,2,3,Social Sciences,Economía,3,M,1974/01/24,Argentina,Argentina,CABA,Buenos Aires
3,4,5,1,4,5,4,2,4,2,1,5,3,4,1,3,1,1,1,3,1,5,1,5,1,5,1,5,5,5,4,4,3,3,4,3,4,2,5,4,5,1,4,4,3,4,5,3,3,3,Business,Administración,4,F,1962/11/07,Argentina,Argentina,Buenos aires,Capital
4,4,5,4,5,1,4,4,5,4,2,3,5,3,4,3,2,2,2,1,1,5,1,5,1,5,1,2,5,5,4,1,5,1,5,1,5,1,4,5,5,2,5,3,4,1,4,3,2,4,Education,Docente,4,F,1962/01/05,Argentina,Argentina,Bs. As.,San Isidro
3,2,3,2,4,2,3,3,3,2,1,2,1,2,2,2,2,2,1,1,2,4,2,3,1,3,1,3,4,4,4,1,3,1,3,3,3,2,4,4,5,1,4,1,3,4,4,4,5,5,Business,Negocios Digitales,5,M,1999/01/24,Argentina,Argentina,BsAs,San Isidro
3,4,4,4,3,3,3,5,4,3,1,4,5,4,5,2,2,1,2,2,1,4,3,4,1,3,1,4,3,3,4,3,3,2,3,2,2,3,2,4,3,1,5,1,4,1,4,2,5,4,STEM,Fisica,4,M,1990/12/24,Argentina,Argentina,Provincia de Buenos Aires,Lomas de Zamora
4,1,4,3,4,2,3,3,5,1,2,4,4,4,2,2,2,1,2,2,2,4,1,4,2,4,2,4,4,4,4,1,5,2,2,1,5,1,4,5,5,1,4,5,4,2,4,4,4,4,Education,Professora d'anglès i educació primària,4,F,1969/07/15,Espanya,Spain,Barcelona,Barcelona
4,4,4,4,4,4,3,2,3,3,2,2,4,3,4,3,3,3,3,3,5,5,3,5,2,5,1,4,5,4,3,3,4,3,2,2,2,3,3,5,3,3,5,4,4,4,2,2,4,4,Other,Nesso,3,F,1986/11/09,Italia,Italy,Catanzaro,Catanzaro
1,3,3,4,4,2,3,3,3,2,3,2,4,1,1,1,3,2,2,4,3,4,1,4,2,3,1,4,4,4,2,4,3,3,1,3,3,3,2,3,4,2,4,1,2,2,2,4,4,3,Social Sciences,Economia,2,F,2003/05/23,Argentina,Argentina,Buenos Aires,Caba
4,1,4,2,5,1,4,5,2,2,2,5,4,2,3,4,2,2,2,2,1,5,2,5,1,4,1,3,5,5,4,1,5,2,2,1,5,4,2,2,5,2,5,2,4,1,5,4,5,2,STEM,Licenciatura en Ciencias Biológicas,3,F,1985/05/17,Argentina,Argentina,Buenos Aires,Villa Iris
1,5,1,5,1,3,1,4,1,1,4,1,5,2,4,5,3,3,4,4,4,1,2,2,4,4,4,1,2,1,1,4,1,1,5,2,5,4,1,2,4,2,4,4,2,3,4,3,4,2,Health Sciences,Medicina Veterinaria,2,M,1979/05/07,Argentina,Argentina,Entre Ríos,Río Cuarto
4,2,1,1,4,1,3,3,3,4,5,1,5,1,5,5,5,5,5,3,4,4,3,3,2,5,2,1,5,3,4,5,5,5,4,4,3,4,5,5,5,4,5,3,4,4,5,5,5,5,Social Sciences,Cuenca política,2,F,1977/08/05,Argentina,Argentina,Entre rios,Bovril
2,1,4,3,5,1,2,4,4,1,5,1,5,2,3,2,5,5,5,2,1,5,3,5,2,5,1,5,5,4,4,4,4,4,1,4,5,5,4,4,3,1,2,1,3,2,4,2,4,3,Social Sciences,Economía,4,F,2002/11/20,Argentina,Argentina,Buenos aires,Buenos Aires
2,3,3,4,4,2,2,5,4,2,1,4,3,5,1,1,2,2,3,1,2,4,1,4,2,2,1,3,2,4,3,3,4,1,2,4,3,4,2,4,4,2,4,2,3,2,4,4,5,4,Business,Licenciatura en Administración,4,M,1998/10/13,Argentina,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires
1,4,3,4,3,3,1,5,1,3,3,3,4,2,3,2,2,2,2,2,2,4,2,3,2,3,2,3,3,4,4,4,3,4,5,4,2,2,1,4,3,1,5,1,3,1,3,2,4,3,STEM,Ciencias físicas,4,F,2023/10/22,Argentina,Argentina,Buenos aires,CABA
3,2,3,2,3,2,2,4,3,2,4,2,5,4,2,4,4,4,5,2,1,5,3,5,1,4,1,5,5,5,3,1,5,3,3,3,4,3,5,5,4,2,3,3,3,3,4,3,4,3,STEM,Licenciatura en Análisis de Sistemas,4,M,1994/12/09,Argentina,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires
1,4,4,3,3,1,3,4,2,4,3,4,3,3,1,2,1,1,1,1,1,5,1,5,1,5,1,5,5,4,3,4,5,3,3,4,3,2,3,3,4,1,3,1,3,2,5,4,4,3,STEM,bioingenieria,5,F,2003/04/25,argentina,Argentina,buenos aires,pilar
2,3,2,5,2,3,2,1,2,4,3,4,4,5,2,1,1,1,3,1,3,3,1,4,2,4,3,3,4,2,3,4,2,2,3,4,4,1,4,5,5,1,3,1,2,3,5,5,3,2,STEM,Ingeniería,4,M,1975/10/24,Argentina,Argentina,Santa Fe,Alejandra
3,1,5,4,4,1,5,3,4,2,3,5,5,4,2,2,3,3,3,3,1,5,1,4,1,5,1,4,4,4,4,4,4,3,3,2,3,1,2,4,4,2,5,1,3,1,4,2,4,4,STEM,Sistemas,4,M,1965/10/20,Argentina,Argentina,Buenos Aires,Capital Federal
4,3,3,3,3,2,3,3,3,4,4,5,5,5,5,3,2,2,5,2,2,5,2,5,1,5,1,3,5,5,5,1,5,2,5,1,5,1,5,5,5,4,5,1,5,1,5,3,5,5,Business,Tec Superior en Comercio Ext,4,M,1989/06/03,Argentina,Argentina,Sanca Cruz,Rio Gallegos
4,3,4,3,4,2,4,4,4,3,3,3,4,4,2,4,3,3,4,2,2,5,1,4,1,5,1,4,4,4,4,1,4,2,4,1,5,2,4,5,4,2,5,1,4,1,4,3,4,4,Business,lic en administracion,4,F,1969/08/28,argentina,Argentina,buenos aires,buenos aires
3,2,5,3,3,2,3,3,4,4,2,2,4,5,1,2,2,2,2,1,1,5,2,4,1,3,1,4,4,5,4,3,5,2,4,4,3,1,4,5,5,1,5,1,4,2,5,2,5,5,Business,Publicidad,4,M,1995/06/09,Argentina,Argentina,Buenos Aires,Lomas de Zamora
3,3,2,4,3,3,2,5,2,3,5,2,5,2,4,4,3,3,3,3,1,5,3,4,2,4,1,4,4,3,3,4,4,4,2,4,3,2,4,4,4,2,3,3,2,4,4,3,5,3,Social Sciences,Traductorado Público,2,F,1982/03/27,Argentina,Argentina,CABA,CABA
5,1,4,4,5,2,5,2,5,2,2,4,4,3,2,3,3,3,2,2,2,4,2,4,2,4,2,3,4,5,4,4,3,3,3,4,3,2,4,4,5,2,5,2,5,1,4,3,4,5,Arts,Diseño,4,M,1996/02/04,Argentina,Argentina,Buenos Aires,San Isidro
3,3,4,1,5,2,3,5,1,3,3,2,4,3,1,3,3,1,1,2,2,4,1,5,2,3,1,5,5,5,3,1,4,1,1,2,3,3,2,3,3,2,4,2,3,2,3,2,4,3,Arts,Conservatorio,3,M,1984/08/24,Italia,Italy,Avellino,Avellino
3,2,1,2,4,1,5,4,4,5,4,3,5,1,3,4,5,5,3,4,1,5,2,5,2,3,2,3,4,4,2,1,4,4,3,2,4,2,4,4,5,1,5,2,4,1,3,1,5,5,Arts,Diseño Gráfico,3,F,1996/06/18,Argentina,Argentina,Buenos Aires,Buenos Aires
5,2,5,2,3,4,5,2,5,5,2,4,4,4,2,4,1,1,2,1,2,4,2,4,1,4,1,4,4,4,3,5,4,4,1,5,1,2,4,4,3,2,4,2,4,2,5,2,3,3,Business,Turismo,4,F,2000/06/24,España,Spain,Mallorca,Palma
3,1,5,2,5,1,5,1,5,2,2,5,4,2,1,4,2,2,1,2,1,5,1,4,1,5,1,4,5,5,4,1,5,1,5,1,5,4,2,4,5,1,5,1,3,1,5,4,5,3,None,Ninguna,5,F,1985/08/20,Argentina,Argentina,Buenos Aires,San Isidro
4,4,5,1,3,4,5,2,2,3,3,5,4,5,2,2,1,1,1,1,1,5,1,5,1,5,1,4,4,4,3,3,4,1,3,3,3,1,1,5,4,1,4,5,4,4,4,1,3,3,STEM,scienze motorie,5,M,1959/11/21,italia,Italy,catanzaro,sellia marina
4,1,3,3,5,2,2,2,4,2,4,3,5,2,3,3,3,4,4,2,1,5,1,5,1,5,1,5,5,5,2,5,5,3,1,1,3,4,3,5,3,2,5,2,3,1,4,1,5,3,Business,Comunicación publicitaria,4,F,2002/12/15,Argentina,Argentina,Buenos Aires,San Isidro
2,2,2,2,2,3,2,1,1,2,2,2,1,2,3,3,2,3,3,3,2,4,2,5,1,2,2,3,5,4,4,1,3,2,2,2,4,2,4,4,3,2,4,3,3,1,3,3,3,3,Business,Licenciatura en turismo,4,F,1974/03/01,Argentina,Argentina,Buenos Aires,Bahía Blanca
3,1,4,4,5,1,4,4,2,3,5,2,5,1,3,5,5,5,5,4,1,5,1,5,1,5,1,5,5,5,5,1,5,3,5,1,5,1,4,5,5,1,5,1,4,1,5,3,5,4,Arts,diseño,4,F,2003/03/05,argentina,Argentina,buenos aires,caba
3,2,2,3,4,1,2,4,5,4,4,2,5,3,1,4,2,2,5,2,1,3,3,3,3,2,3,5,3,5,5,2,5,3,2,2,5,2,5,5,5,4,5,2,4,1,5,3,5,5,Health Sciences,Profesorado de educación física,3,M,2002/08/08,Argentina,Argentina,Buenos aires,Buenos aires
5,1,5,1,5,1,5,1,5,1,5,1,3,1,5,1,1,1,1,1,1,5,1,5,1,5,1,1,5,5,1,1,5,1,1,1,5,1,1,5,5,3,5,5,5,1,5,5,5,5,None,Nessuno,1,M,2023/05/02,Italia,Italy,Catanzaro,Nicastro
2,2,3,4,4,3,2,4,4,2,4,1,5,2,4,4,3,2,4,3,2,4,4,4,2,4,2,4,3,4,2,4,4,2,3,2,3,2,5,5,2,2,3,2,3,3,2,2,3,2,Health Sciences,Medicina,3,F,2000/11/12,Argentina,Argentina,Buenos Aires,CABA
3,1,4,2,4,1,2,2,5,3,3,4,4,4,4,3,4,4,3,2,1,3,2,4,2,3,2,4,3,4,2,5,5,3,2,2,4,4,3,4,4,1,2,1,3,1,5,3,5,5,Humanities,Filosofía,4,F,2002/07/24,Argentina,Argentina,Buenos Aires,CABA
2,4,3,4,4,5,2,5,2,3,4,2,4,2,4,4,2,2,3,4,2,4,4,4,2,4,2,4,4,4,3,2,4,2,2,2,4,4,4,3,3,4,1,5,2,5,3,2,2,2,STEM,Tecnicatura Universitaria en Programacion,2,F,1995/06/22,Argentina,Argentina,Buenos Aires,San Nicolas de los Arroyos
2,1,3,3,4,1,3,3,3,4,2,4,2,4,2,2,2,2,3,2,3,4,2,4,2,4,2,3,3,4,3,3,5,2,1,4,3,5,1,4,4,1,4,1,4,2,5,4,5,4,Social Sciences,Ciencia Política y Gobierno,3,M,2002/09/12,Argentina,Argentina,Buenos Aires,CABA
4,1,4,2,2,1,3,3,3,4,5,1,4,5,4,4,4,4,5,2,4,3,3,2,2,4,3,3,1,4,2,5,1,4,3,4,2,4,2,2,4,3,3,2,3,3,4,2,2,4,STEM,Agronomía,2,M,2023/10/24,Argentina,Argentina,Tucumán,Concepción
3,1,5,1,5,2,4,4,2,3,2,3,4,4,2,2,2,2,2,2,2,4,2,4,2,4,2,4,4,4,4,4,4,2,4,2,3,2,4,5,4,2,3,2,3,3,4,3,2,3,Business,Derecho y Ade,4,F,2000/12/07,España,Spain,Madrid,Madrid
4,2,3,3,4,1,3,3,3,1,4,3,5,3,2,3,3,2,3,1,1,5,2,5,2,3,1,4,4,4,3,3,4,2,3,2,4,4,4,5,5,4,4,2,4,1,4,4,4,4,Business,Ingeniería en turismo y hoteleria,3,M,1997/05/20,Chile,Chile,Magallanes,Punta Arenas
2,3,3,3,3,4,2,4,4,5,3,4,4,1,2,5,4,4,3,4,1,4,3,5,1,5,1,4,5,5,3,5,4,5,1,5,1,5,3,5,5,1,3,2,5,2,5,4,5,3,Social Sciences,Abogacia,3,M,1999/05/10,Argentina,Argentina,CABA,CABA
2,3,4,4,2,4,1,3,3,5,1,5,2,5,1,1,1,1,2,1,4,4,2,3,2,3,1,3,3,4,3,2,3,2,3,2,3,2,5,4,3,3,2,3,2,4,4,2,2,2,Education,Profesorado de inglés (no universitario),5,F,1973/02/19,Argentina,Argentina,Bs as,San Isidro
5,1,4,2,5,1,5,5,3,3,5,1,3,3,1,2,5,5,5,2,1,4,1,5,1,5,1,5,5,5,5,1,5,2,5,1,5,2,4,4,5,1,5,1,5,1,5,5,5,5,Health Sciences,Medicina,3,F,1995/06/29,Argentina,Argentina,Buenos Aires,Caba
1,3,2,3,3,3,1,4,4,2,4,2,5,3,4,4,2,2,3,1,1,4,2,4,1,3,1,5,4,4,4,1,4,3,2,5,3,1,5,2,2,2,3,3,3,2,3,1,5,3,STEM,lic en sistemas,4,M,2003/05/18,argentina,Argentina,buenos aires,tigre
4,5,3,4,5,1,3,3,1,2,3,5,5,3,1,4,5,5,3,1,5,1,1,5,5,3,3,1,5,5,1,1,5,2,5,1,5,3,5,5,5,3,5,1,3,1,5,3,5,5,Arts,Animación digital,5,F,2001/10/28,Argentina,Argentina,Buenos Aires,Balcarce
4,2,3,3,5,1,2,2,2,2,5,2,4,3,3,2,4,4,4,1,2,4,2,4,2,3,2,5,4,3,3,2,5,2,4,2,4,2,5,5,2,3,3,3,3,4,4,2,5,4,Social Sciences,Trabajo social,4,F,2000/08/27,Argentina,Argentina,Buenos Aires,Ciudad autónoma de Buenos Aires
4,1,4,3,5,3,5,3,4,2,3,3,4,5,3,2,2,3,3,1,1,5,2,4,1,3,1,4,4,4,3,3,4,3,2,4,5,3,4,4,3,2,2,5,4,3,4,2,5,4,Business,Administracion,4,F,2003/12/04,Argentina,Argentina,Buenos aires,Caba
2,3,2,3,2,3,2,5,2,3,3,3,3,4,2,3,1,1,2,1,2,3,1,5,3,4,1,3,3,3,3,4,5,2,5,4,5,3,4,5,5,1,5,1,4,2,4,4,4,5,Arts,Artes Visuales,3,F,1979/04/27,Argentina,Argentina,Buenos Aires,Capital Federal
3,2,3,3,4,3,2,4,2,3,4,2,4,3,4,3,2,2,4,2,2,4,3,3,1,3,2,3,3,3,2,2,4,2,2,2,4,3,4,4,3,2,3,4,2,3,3,2,3,2,Business,Administración de Empresas,3,M,1966/01/12,Argentina,Argentina,Buenos Aires,Capital Federal
2,5,2,5,3,3,4,5,1,3,2,4,2,2,1,2,1,1,4,4,1,4,2,4,1,4,1,4,4,4,4,1,5,1,5,1,5,1,4,5,4,1,5,1,2,1,4,3,5,3,Arts,Diseño de imagen y sonido,2,M,1981/09/16,Argentina,Argentina,Rio Negro,General Roca
