ext1,ext2,ext3,ext4,ext5,ext6,ext7,ext8,ext9,ext10,est1,est2,est3,est4,est5,est6,est7,est8,est9,est10,agr1,agr2,agr3,agr4,agr5,agr6,agr7,agr8,agr9,agr10,csn1,csn2,csn3,csn4,csn5,csn6,csn7,csn8,csn9,csn10,opn1,opn2,opn3,opn4,opn5,opn6,opn7,opn8,opn9,opn10,degree_category,happiness_level,gender,birth_date,birth_location_country_clean,age,age_group,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,zodiac_sign,zodiac_group
4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,STEM,5,M,2002-07-20,Argentina,21,18-30,49.0,30.0,46.0,50.0,42.0,Cáncer,Agua
2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,STEM,2,M,1998-12-30,Argentina,25,18-30,44.0,33.0,42.0,43.0,45.0,Capricornio,Tierra
2.0,4.0,4.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,Business,3,M,1990-02-24,Argentina,33,31-45,45.0,27.0,27.0,31.0,44.0,Piscis,Agua
3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,2.0,Social Sciences,4,F,1979-12-31,Argentina,44,31-45,37.0,48.0,34.0,46.0,18.0,Capricornio,Tierra
1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,Arts,5,M,1998-04-16,Argentina,25,18-30,45.0,35.0,18.0,35.0,18.0,Aries,Fuego
2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,STEM,4,M,1995-10-19,Mexico,28,18-30,42.0,24.0,35.0,35.0,19.0,Libra,Aire
2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,3.0,2.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,,2,M,1971-07-19,Argentina,52,46-59,38.0,27.0,16.0,41.0,46.0,Cáncer,Agua
2.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,4.0,Health Sciences,4,F,2000-01-22,Italy,23,18-30,33.0,27.0,32.0,41.0,17.0,Acuario,Aire
3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,5.0,2.0,STEM,4,M,1995-12-10,Argentina,28,18-30,29.0,22.0,20.0,34.0,32.0,Sagitario,Fuego
3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,Health Sciences,3,F,1998-09-19,Italy,25,18-30,42.0,27.0,42.0,46.0,20.0,Virgo,Tierra
1.0,3.0,1.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,,4,F,1987-06-29,Argentina,36,31-45,40.0,28.0,24.0,42.0,29.0,Cáncer,Agua
2.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,Business,5,F,1999-09-14,Russia,24,18-30,49.0,35.0,37.0,46.0,32.0,Virgo,Tierra
2.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,Business,5,F,2002-02-26,Spain,21,18-30,48.0,44.0,35.0,43.0,15.0,Piscis,Agua
3.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,Social Sciences,4,F,2000-10-01,Argentina,23,18-30,31.0,36.0,24.0,40.0,40.0,Libra,Aire
5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,,3,F,1977-12-06,Argentina,46,46-59,34.0,45.0,41.0,42.0,36.0,Sagitario,Fuego
4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,STEM,3,M,1984-10-12,Argentina,39,31-45,45.0,24.0,43.0,40.0,31.0,Libra,Aire
2.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,1.0,3.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,5.0,3.0,3.0,5.0,3.0,1.0,5.0,2.0,5.0,5.0,5.0,Arts,1,M,1996-07-24,Argentina,27,18-30,37.0,19.0,30.0,27.0,50.0,Leo,Fuego
1.0,4.0,2.0,4.0,3.0,4.0,2.0,5.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,Social Sciences,4,F,2023-03-19,Argentina,0,0-18,28.0,37.0,30.0,32.0,33.0,Piscis,Agua
4.0,3.0,5.0,1.0,1.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,3.0,2.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,Health Sciences,3,M,1986-12-24,Argentina,37,31-45,46.0,31.0,33.0,38.0,24.0,Capricornio,Tierra
3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,5.0,2.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,Social Sciences,3,M,2022-10-13,Argentina,1,0-18,44.0,35.0,42.0,40.0,34.0,Libra,Aire
4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,Business,4,F,2000-06-28,Spain,23,18-30,42.0,36.0,48.0,46.0,24.0,Cáncer,Agua
2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,Business,3,F,1997-12-31,Singapore,26,18-30,31.0,25.0,21.0,40.0,37.0,Capricornio,Tierra
4.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,STEM,4,M,1994-01-16,Argentina,29,18-30,41.0,32.0,39.0,46.0,19.0,Capricornio,Tierra
1.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,Business,3,F,1970-01-03,Argentina,53,46-59,32.0,44.0,17.0,40.0,50.0,Capricornio,Tierra
3.0,2.0,3.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,Social Sciences,4,M,1962-09-28,United States,61,60+,35.0,40.0,26.0,41.0,20.0,Libra,Aire
4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,Business,4,F,1970-10-22,Argentina,53,46-59,38.0,37.0,46.0,41.0,23.0,Libra,Aire
4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,Arts,3,F,2000-08-06,Argentina,23,18-30,44.0,40.0,41.0,40.0,34.0,Leo,Fuego
4.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,Health Sciences,4,F,2000-09-01,Spain,23,18-30,45.0,30.0,40.0,49.0,24.0,Virgo,Tierra
2.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,1.0,4.0,5.0,1.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,Social Sciences,3,F,2001-03-16,Argentina,22,18-30,37.0,29.0,34.0,42.0,40.0,Piscis,Agua
4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,STEM,4,M,1983-04-25,Argentina,40,31-45,31.0,40.0,29.0,35.0,12.0,Tauro,Tierra
4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,5.0,4.0,STEM,3,F,1995-07-19,Argentina,28,18-30,40.0,25.0,37.0,48.0,38.0,Cáncer,Agua
4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,Social Sciences,3,M,1974-01-24,Argentina,49,46-59,39.0,48.0,29.0,43.0,15.0,Acuario,Aire
3.0,2.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,2.0,5.0,3.0,3.0,3.0,Business,4,F,1962-11-07,Argentina,61,60+,35.0,36.0,36.0,50.0,17.0,Escorpio,Agua
4.0,2.0,5.0,2.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,Education,4,F,1962-01-05,Argentina,61,60+,39.0,48.0,36.0,47.0,27.0,Capricornio,Tierra
3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,5.0,5.0,Business,5,M,1999-01-24,Argentina,24,18-30,42.0,38.0,35.0,39.0,20.0,Acuario,Aire
3.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,2.0,5.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,STEM,4,M,1990-12-24,Argentina,33,31-45,42.0,32.0,28.0,39.0,24.0,Capricornio,Tierra
4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,Education,4,F,1969-07-15,Spain,54,46-59,39.0,44.0,40.0,41.0,21.0,Cáncer,Agua
4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,Other,3,F,1986-11-09,Italy,37,31-45,31.0,32.0,31.0,41.0,32.0,Escorpio,Agua
1.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,Social Sciences,2,F,2003-05-23,Argentina,20,18-30,36.0,25.0,30.0,40.0,29.0,Géminis,Aire
4.0,5.0,4.0,4.0,5.0,5.0,4.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,STEM,3,F,1985-05-17,Argentina,38,31-45,43.0,36.0,38.0,46.0,26.0,Tauro,Tierra
1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,4.0,5.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,Health Sciences,2,M,1979-05-07,Argentina,44,31-45,32.0,28.0,17.0,21.0,41.0,Tauro,Tierra
4.0,4.0,1.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,1.0,5.0,3.0,4.0,1.0,5.0,1.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,Social Sciences,2,F,1977-08-05,Argentina,46,46-59,41.0,32.0,34.0,34.0,48.0,Leo,Fuego
